,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta1,params_beta2,params_bidirectional,params_dropout,params_embed_dim,params_hidden_size,params_lr,params_momentum,params_num_layers,params_optimizer,params_weight_decay,state
0,0,0.0035401698747637923,2026-04-12 19:23:41.560236,2026-04-12 19:23:48.013009,0 days 00:00:06.452773,0.9236391889127193,,,False,0.37255019735562617,128,64,0.0007708908165204,,3,RMSprop,7.50863495231798e-05,COMPLETE
1,1,0.002965203377382628,2026-04-12 19:23:48.027364,2026-04-12 19:23:53.577167,0 days 00:00:05.549803,0.8513611588973725,,,True,0.25215451418775364,32,16,0.0009481160481287465,,3,RMSprop,1.6701220291787082e-05,COMPLETE
2,2,0.12063605358503807,2026-04-12 19:23:53.588548,2026-04-12 19:23:58.091492,0 days 00:00:04.502944,,,,True,0.36889525763654435,128,64,0.001556889618100334,0.7142456721295556,1,SGD,0.0006513981641219365,COMPLETE
3,3,0.6371580521771862,2026-04-12 19:23:58.101587,2026-04-12 19:24:11.002187,0 days 00:00:12.900600,,,,False,0.053445281689741414,64,128,3.568328931544594e-05,0.26872515934383073,3,SGD,0.00021368825297029092,COMPLETE
4,4,0.07803856152566566,2026-04-12 19:24:11.013283,2026-04-12 19:24:15.510904,0 days 00:00:04.497621,,0.8424789250010737,0.9149865976229336,False,0.23504680669936812,64,16,0.0036132969854945273,,3,Adam,0.0007939030286756325,COMPLETE
5,5,0.6376974700362819,2026-04-12 19:24:15.523251,2026-04-12 19:24:17.653676,0 days 00:00:02.130425,0.9472918425623156,,,False,0.2977326113505847,64,16,2.8778514954653986e-05,,2,RMSprop,5.101964981622812e-05,PRUNED
6,6,0.08091239488808213,2026-04-12 19:24:17.662808,2026-04-12 19:24:19.920528,0 days 00:00:02.257720,,0.7108453127357677,0.9285675146156199,False,0.303184778955885,32,16,0.0008017603890063132,,3,Adam,0.0006331430653508917,PRUNED
7,7,0.12947619706392288,2026-04-12 19:24:19.930888,2026-04-12 19:24:22.269619,0 days 00:00:02.338731,0.9724570848127233,,,False,0.2578810110967609,32,128,1.6793734655901566e-05,,1,RMSprop,0.0001256257393939489,PRUNED
8,8,0.6375956721366591,2026-04-12 19:24:22.279229,2026-04-12 19:24:24.295269,0 days 00:00:02.016040,,,,False,0.08382427025231834,32,16,7.731319432046541e-05,0.2108796675073838,2,SGD,1.4018478337175864e-05,PRUNED
9,9,0.10032447738940739,2026-04-12 19:24:24.304329,2026-04-12 19:24:33.468454,0 days 00:00:09.164125,0.9333004470423749,,,True,0.04138190440007579,128,128,0.006302351532559726,,2,RMSprop,0.00045259666462953575,PRUNED
10,10,0.005912832800850604,2026-04-12 19:24:33.480076,2026-04-12 19:24:38.418518,0 days 00:00:04.938442,0.828221303166056,,,True,0.14780260506225126,32,32,0.00018606112484518346,,2,RMSprop,1.0753640093491459e-05,COMPLETE
11,11,0.0021215561011014208,2026-04-12 19:24:38.432243,2026-04-12 19:24:47.587526,0 days 00:00:09.155283,0.8601004782444301,,,True,0.3590774847133831,128,64,0.00044487958888268287,,3,RMSprop,4.5351834567617135e-05,COMPLETE
